# Lbol[erg/s]  Mbh [Msun]
 1.318e+47  1.445e+09
 2.188e+47  1.905e+09
 2.138e+47  2.344e+09
 1.862e+47  2.818e+09
 3.090e+47  3.802e+09
 1.259e+47  2.455e+09
 3.467e+47  1.950e+09
 1.995e+47  3.162e+09
 1.549e+47  2.138e+09
 2.239e+47  2.570e+09
 1.585e+47  1.862e+08
 3.715e+47  9.772e+08
 2.884e+47  3.020e+09
 1.778e+47  1.995e+09
 3.236e+47  1.288e+09
 3.631e+47  3.311e+09
 1.585e+47  1.950e+09
 2.570e+47  1.738e+09
 1.820e+47  3.467e+09
 1.349e+47  2.239e+09
 2.291e+47  2.188e+09
 3.981e+47  1.698e+09
 2.884e+47  4.786e+09
 1.820e+47  4.074e+09
 2.239e+47  5.495e+09
 1.862e+47  1.820e+09
 2.754e+47  1.862e+09
 2.754e+47  9.772e+09
 3.090e+47  3.548e+09
 1.995e+47  1.698e+09
 1.413e+48  6.607e+09
 4.571e+47  3.236e+09
 2.884e+47  1.698e+09
 3.162e+47  3.548e+09
 2.138e+48  5.888e+09
 3.631e+47  3.548e+09
 7.079e+47  1.413e+10
 1.202e+47  1.905e+09
 2.089e+47  2.818e+09
 1.738e+47  3.162e+09
 1.995e+47  1.905e+09
 2.344e+47  2.951e+09
